section,pageTitle,id,depth1,depth2,depth3,path,progressPc,progressMobile,start,updatedAt,end,note,depthOnly
가족센터 평가시스템 기능개발,평가결과 페이지,FE_SE_0019,자체평가,평가 결과,목록,http://m16.co.kr/familynet/fces/assessment/FE_SE_0019.html,100,100,2026.04.21,2026.05.04,,,
가족센터 평가시스템 기능개발,평가 결과 상세페이지,FE_SE_0020,자체평가,평가 결과,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0020.html,100,100,2026.04.21,2026.05.06,,,
가족센터 평가시스템 기능개발,평가 결과 평가자 총평 영역,FE_SE_0020-1,자체평가,평가 결과,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0020-1.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,이의 신청 목록 영역,FE_SE_0021,자체평가,이의 신청,목록,http://m16.co.kr/familynet/fces/assessment/FE_SE_0021.html,100,100,2026.04.21,2026.05.06,,,
가족센터 평가시스템 기능개발,이의 신청 상세 영역(미답변),FE_SE_0022,자체평가,이의 신청,상세,http://m16.co.kr/familynet/fces/assessment/FE_SE_0022.html,100,100,2026.04.21,2026.05.06,,,
가족센터 평가시스템 기능개발,이의 신청 상세 영역(답변),FE_SE_0023,자체평가,이의 신청,상세,http://m16.co.kr/familynet/fces/assessment/FE_SE_0023.html,100,100,2026.04.21,2026.05.06,,,
가족센터 평가시스템 기능개발,이의 신청 등록/수정 영역,FE_SE_0024,자체평가,이의 신청,등록/수정,http://m16.co.kr/familynet/fces/assessment/FE_SE_0024.html,100,100,2026.04.21,2026.05.06,,,
가족센터 평가시스템 기능개발,센터 평가 목록 페이지,FE_EV_0001,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0001.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,평가하기 페이지,FE_EV_0002,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0002.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,평가하기 페이지(1/2),FE_EV_0003,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0003.html,100,100,2026.04.21,2026.05.06,,,
가족센터 평가시스템 기능개발,보완요청 모달창(미등록상태),FE_EV_0004,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0004.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,보완사유 수정 페이지,FE_EV_0005,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0005.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,평가지표 영역,FE_EV_0006,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0006.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,증빙자료 영역,FE_EV_0007,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0007.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,정성평가 예시페이지,FE_EV_0008,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0008.html,100,100,2026.04.21,2026.05.06,,,
가족센터 평가시스템 기능개발,정성평가 예시페이지,FE_EV_0009,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0009.html,0,0,2026.04.21,,,예시 (2),
가족센터 평가시스템 기능개발,정량평가 예시페이지(교육이수율),FE_EV_0010,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0010.html,100,100,2026.04.21,2026.05.06,,,
가족센터 평가시스템 기능개발,정량평가 예시페이지(교육이수율),FE_EV_0011,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0011.html,0,0,2026.04.21,,,예시 (2),
가족센터 평가시스템 기능개발,정량평가 예시페이지(교육이수율),FE_EV_0012,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0012.html,0,0,2026.04.21,,,예시 (3),
가족센터 평가시스템 기능개발,평가하기 페이지(2/2),FE_EV_0013,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0013.html,100,100,2026.04.21,2026.05.07,,,
가족센터 평가시스템 기능개발,평가하기 페이지(1/2),FE_EV_0014,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0014.html,0,0,2026.04.21,,,평가자 계정(보조평가자),
가족센터 평가시스템 기능개발,평가지표 영역,FE_EV_0015,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0015.html,0,0,2026.04.21,,,평가자 계정(보조평가자),
가족센터 평가시스템 기능개발,정성평가 예시페이지,FE_EV_0016,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0016.html,0,0,2026.04.21,,,평가자 계정(보조평가자),
가족센터 평가시스템 기능개발,정성평가 예시페이지,FE_EV_0017,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0017.html,0,0,2026.04.21,,,평가자 계정(보조평가자) 예시 (2),
가족센터 평가시스템 기능개발,정량평가 예시페이지(교육이수율),FE_EV_0018,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0018.html,0,0,2026.04.21,,,평가자 계정(보조평가자),
가족센터 평가시스템 기능개발,정량평가 예시페이지(교육이수율),FE_EV_0019,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0019.html,0,0,2026.04.21,,,평가자 계정(보조평가자) 예시 (2),
가족센터 평가시스템 기능개발,정량평가 예시페이지(교육이수율),FE_EV_0020,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0020.html,0,0,2026.04.21,,,평가자 계정(보조평가자) 예시 (3),
가족센터 평가시스템 기능개발,평가하기 페이지(2/2),FE_EV_0021,평가 관리,센터 평가,,http://m16.co.kr/familynet/fces/assessment/FE_EV_0021.html,0,0,2026.04.21,,,평가자 계정(보조평가자),
가족센터 평가시스템 기능개발,이의신청현황 페이지,FE_EV_0022,평가 관리,이의 신청 현황,목록,http://m16.co.kr/familynet/fces/assessment/FE_EV_0022.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,이의신청현황 페이지(사이트관리자),FE_EV_0023,평가 관리,이의 신청 현황,상세,http://m16.co.kr/familynet/fces/assessment/FE_EV_0023.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,이의신청현황 페이지(사이트관리자),FE_EV_0024,평가 관리,이의 신청 현황,답변 작성,http://m16.co.kr/familynet/fces/assessment/FE_EV_0024.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,이의신청현황 페이지(사이트관리자),FE_EV_0025,평가 관리,이의 신청 현황,작성자 지정 모달,http://m16.co.kr/familynet/fces/assessment/FE_EV_0025.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,이의신청현황 페이지(사이트관리자),FE_EV_0026,평가 관리,이의 신청 현황,수정,http://m16.co.kr/familynet/fces/assessment/FE_EV_0026.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,이의신청현황 페이지(평가자 계정),FE_EV_0027,평가 관리,이의 신청 현황,등록,http://m16.co.kr/familynet/fces/assessment/FE_EV_0027.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,이의신청현황 페이지(평가자 계정),FE_EV_0028,평가 관리,이의 신청 현황,수정,http://m16.co.kr/familynet/fces/assessment/FE_EV_0028.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,이의신청현황 페이지(사이트관리자),FE_EV_0029,평가 관리,이의 신청 현황,상세,http://m16.co.kr/familynet/fces/assessment/FE_EV_0029.html,0,0,2026.04.21,,,예시 (2),
가족센터 평가시스템 기능개발,이의신청현황 페이지(평가자 계정),FE_EV_0030,평가 관리,이의 신청 현황,상세,http://m16.co.kr/familynet/fces/assessment/FE_EV_0030.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,공지사항 목록 영역,FE_NT_0001,알림마당,공지사항,목록,http://m16.co.kr/familynet/fces/assessment/FE_NT_0001.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,공지사항 게시글 상세 영역,FE_NT_0002,알림마당,공지사항,상세,http://m16.co.kr/familynet/fces/assessment/FE_NT_0002.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,자료실 목록 영역,FE_NT_0003,알림마당,자료실,목록,http://m16.co.kr/familynet/fces/assessment/FE_NT_0003.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,자료실 게시글 상세 영역,FE_NT_0004,알림마당,자료실,상세,http://m16.co.kr/familynet/fces/assessment/FE_NT_0004.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,FAQ 페이지,FE_NT_0005,알림마당,FAQ,,http://m16.co.kr/familynet/fces/assessment/FE_NT_0005.html,100,100,2026.04.21,2026.05.07,,,
가족센터 평가시스템 기능개발,Q&A 목록 영역(센터 계정),FE_NT_0006,알림마당,Q&A,목록,http://m16.co.kr/familynet/fces/assessment/FE_NT_0006.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,Q&A 게시글 상세 영역(센터 계정),FE_NT_0007,알림마당,Q&A,상세,http://m16.co.kr/familynet/fces/assessment/FE_NT_0007.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,Q&A 게시글 상세 영역(센터 계정),FE_NT_0008,알림마당,Q&A,상세,http://m16.co.kr/familynet/fces/assessment/FE_NT_0008.html,0,0,2026.04.21,,,예시 (2),
가족센터 평가시스템 기능개발,Q&A 등록 영역(센터 계정),FE_NT_0009,알림마당,Q&A,등록,http://m16.co.kr/familynet/fces/assessment/FE_NT_0009.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,Q&A 목록 영역(사이트관리자),FE_NT_0010,알림마당,Q&A,목록,http://m16.co.kr/familynet/fces/assessment/FE_NT_0010.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,Q&A 게시글 상세 영역(사이트관리자),FE_NT_0011,알림마당,Q&A,상세,http://m16.co.kr/familynet/fces/assessment/FE_NT_0011.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,Q&A 게시글 상세 영역(사이트관리자),FE_NT_0012,알림마당,Q&A,상세,http://m16.co.kr/familynet/fces/assessment/FE_NT_0012.html,0,0,2026.04.21,,,예시 (2),
가족센터 평가시스템 기능개발,Q&A 게시글 상세 영역(사이트관리자),FE_NT_0013,알림마당,Q&A,상세/수정,http://m16.co.kr/familynet/fces/assessment/FE_NT_0013.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,Q&A 게시글 상세 영역(센터 계정),FE_NT_0014,알림마당,Q&A,상세,http://m16.co.kr/familynet/fces/assessment/FE_NT_0014.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,회원정보 조회 페이지,FE_MY_0001,마이페이지,회원정보,,http://m16.co.kr/familynet/fces/assessment/FE_MY_0001.html,100,100,2026.04.21,2026.05.07,,,
가족센터 평가시스템 기능개발,비밀번호 변경 페이지,FE_MY_0002,마이페이지,비밀번호 변경,,http://m16.co.kr/familynet/fces/assessment/FE_MY_0002.html,100,100,2026.04.21,2026.05.07,,,
가족센터 평가시스템 기능개발,회원정보 수정 페이지(최초로그인후 해당페이지로 이동),FE_MY_0003,마이페이지,회원정보 수정,,http://m16.co.kr/familynet/fces/assessment/FE_MY_0003.html,100,100,2026.05.07,2026.05.07,,,
